file: votematrix-2015.csv covering commons parliament 2015
file created: Mon Apr 17 08:48:58 2017by http://www.publicwhip.org.uk/
654 mps
462 divisions



Data Values
      missing: -9
      tellaye: 1
      aye: 2
      both: 3
      no: 4
      tellno: 5



Variables match to MP names as mpidXXX where XXX is the mpid number below

mpid	firstname	surname	party	PublicWhip URL
40980	Michael	Ellis	Con	http://publicwhip.com/mp.php?mpid=40980
40714	Jane	Ellison	Con	http://publicwhip.com/mp.php?mpid=40714
40942	Louise	Ellman	Lab	http://publicwhip.com/mp.php?mpid=40942
41143	Tobias	Ellwood	Con	http://publicwhip.com/mp.php?mpid=41143
41363	Chris	Elmore	Lab	http://publicwhip.com/mp.php?mpid=41363
40956	Charlie	Elphicke	Con	http://publicwhip.com/mp.php?mpid=40956
41101	Bill	Esterson	Lab	http://publicwhip.com/mp.php?mpid=41101
40972	George	Eustice	Con	http://publicwhip.com/mp.php?mpid=40972
40734	Chris	Evans	Lab	http://publicwhip.com/mp.php?mpid=40734
41183	Graham	Evans	Con	http://publicwhip.com/mp.php?mpid=41183
41049	Nigel	Evans	Con	http://publicwhip.com/mp.php?mpid=41049
41186	David	Evennett	Con	http://publicwhip.com/mp.php?mpid=41186
41023	Michael	Fabricant	Con	http://publicwhip.com/mp.php?mpid=41023
40983	Michael	Fallon	Con	http://publicwhip.com/mp.php?mpid=40983
41084	Paul	Farrelly	Lab	http://publicwhip.com/mp.php?mpid=41084
40816	Tim	Farron	LDem	http://publicwhip.com/mp.php?mpid=40816
40755	Marion	Fellows	SNP	http://publicwhip.com/mp.php?mpid=40755
40742	Suella	Fernandes	Con	http://publicwhip.com/mp.php?mpid=40742
40773	Margaret	Ferrier	SNP	http://publicwhip.com/mp.php?mpid=40773
41187	Frank	Field	Lab	http://publicwhip.com/mp.php?mpid=41187
40768	Mark	Field	Con	http://publicwhip.com/mp.php?mpid=40768
40982	Jim	Fitzpatrick	Lab	http://publicwhip.com/mp.php?mpid=40982
41335	Rob	Flello	Lab	http://publicwhip.com/mp.php?mpid=41335
40864	Colleen	Fletcher	Lab	http://publicwhip.com/mp.php?mpid=40864
41088	Caroline	Flint	Lab	http://publicwhip.com/mp.php?mpid=41088
40780	Paul	Flynn	Lab	http://publicwhip.com/mp.php?mpid=40780
40932	Kevin	Foster	Con	http://publicwhip.com/mp.php?mpid=40932
40849	Yvonne	Fovargue	Lab	http://publicwhip.com/mp.php?mpid=40849
41288	Liam	Fox	Con	http://publicwhip.com/mp.php?mpid=41288
41089	Vicky	Foxcroft	Lab	http://publicwhip.com/mp.php?mpid=41089
40943	Mark	Francois	Con	http://publicwhip.com/mp.php?mpid=40943
41166	Lucy	Frazer	Con	http://publicwhip.com/mp.php?mpid=41166
41045	George	Freeman	Con	http://publicwhip.com/mp.php?mpid=41045
41003	Mike	Freer	Con	http://publicwhip.com/mp.php?mpid=41003
41336	Richard	Fuller	Con	http://publicwhip.com/mp.php?mpid=41336
41362	Gill	Furniss	Lab	http://publicwhip.com/mp.php?mpid=41362
41102	Marcus	Fysh	Con	http://publicwhip.com/mp.php?mpid=41102
41341	Roger	Gale	Con	http://publicwhip.com/mp.php?mpid=41341
40824	Mike	Gapes	Lab	http://publicwhip.com/mp.php?mpid=40824
40924	Barry	Gardiner	Lab	http://publicwhip.com/mp.php?mpid=40924
41340	Edward	Garnier	Con	http://publicwhip.com/mp.php?mpid=41340
41206	Mark	Garnier	Con	http://publicwhip.com/mp.php?mpid=41206
41271	David	Gauke	Con	http://publicwhip.com/mp.php?mpid=41271
40878	Stephen	Gethins	SNP	http://publicwhip.com/mp.php?mpid=40878
40999	Nusrat	Ghani	Con	http://publicwhip.com/mp.php?mpid=40999
41240	Nick	Gibb	Con	http://publicwhip.com/mp.php?mpid=41240
40807	Patricia	Gibson	SNP	http://publicwhip.com/mp.php?mpid=40807
41151	Cheryl	Gillan	Con	http://publicwhip.com/mp.php?mpid=41151
40798	Pat	Glass	Lab	http://publicwhip.com/mp.php?mpid=40798
40869	John	Glen	Con	http://publicwhip.com/mp.php?mpid=40869
40978	Mary	Glindon	Lab	http://publicwhip.com/mp.php?mpid=40978
41105	Roger	Godsiff	Lab	http://publicwhip.com/mp.php?mpid=41105
40890	Zac	Goldsmith	Con	http://publicwhip.com/mp.php?mpid=40890
40854	Helen	Goodman	Lab	http://publicwhip.com/mp.php?mpid=40854
41034	Robert	Goodwill	Con	http://publicwhip.com/mp.php?mpid=41034
41290	Michael	Gove	Con	http://publicwhip.com/mp.php?mpid=41290
40805	Patrick	Grady	SNP	http://publicwhip.com/mp.php?mpid=40805
40974	Richard	Graham	Con	http://publicwhip.com/mp.php?mpid=40974
41114	Helen	Grant	Con	http://publicwhip.com/mp.php?mpid=41114
40743	Peter	Grant	SNP	http://publicwhip.com/mp.php?mpid=40743
40996	James	Gray	Con	http://publicwhip.com/mp.php?mpid=40996
40787	Neil	Gray	SNP	http://publicwhip.com/mp.php?mpid=40787
41159	Chris	Grayling	Con	http://publicwhip.com/mp.php?mpid=41159
41018	Chris	Green	Con	http://publicwhip.com/mp.php?mpid=41018
41017	Damian	Green	Con	http://publicwhip.com/mp.php?mpid=41017
41135	Kate	Green	Lab	http://publicwhip.com/mp.php?mpid=41135
40710	Justine	Greening	Con	http://publicwhip.com/mp.php?mpid=40710
41146	Lilian	Greenwood	Lab	http://publicwhip.com/mp.php?mpid=41146
40987	Margaret	Greenwood	Lab	http://publicwhip.com/mp.php?mpid=40987
41185	Dominic	Grieve	Con	http://publicwhip.com/mp.php?mpid=41185
40731	Nia	Griffith	Lab	http://publicwhip.com/mp.php?mpid=40731
40831	Andrew	Griffiths	Con	http://publicwhip.com/mp.php?mpid=40831
40975	Ben	Gummer	Con	http://publicwhip.com/mp.php?mpid=40975
41321	Andrew	Gwynne	Lab	http://publicwhip.com/mp.php?mpid=41321
40973	Sam	Gyimah	Con	http://publicwhip.com/mp.php?mpid=40973
41009	Louise	Haigh	Lab	http://publicwhip.com/mp.php?mpid=41009
40822	Robert	Halfon	Con	http://publicwhip.com/mp.php?mpid=40822
41067	Luke	Hall	Con	http://publicwhip.com/mp.php?mpid=41067
41310	Fabian	Hamilton	Lab	http://publicwhip.com/mp.php?mpid=41310
40944	Philip	Hammond	Con	http://publicwhip.com/mp.php?mpid=40944
40774	Stephen	Hammond	Con	http://publicwhip.com/mp.php?mpid=40774
40970	Matthew	Hancock	Con	http://publicwhip.com/mp.php?mpid=40970
40832	Greg	Hands	Con	http://publicwhip.com/mp.php?mpid=40832
40857	David	Hanson	Lab	http://publicwhip.com/mp.php?mpid=40857
40935	Harriet	Harman	Lab	http://publicwhip.com/mp.php?mpid=40935
41300	Mark	Harper	Con	http://publicwhip.com/mp.php?mpid=41300
41051	Harry	Harpham	Lab	http://publicwhip.com/mp.php?mpid=41051
41286	Richard	Harrington	Con	http://publicwhip.com/mp.php?mpid=41286
40827	Carolyn	Harris	Lab	http://publicwhip.com/mp.php?mpid=40827
40749	Rebecca	Harris	Con	http://publicwhip.com/mp.php?mpid=40749
41369	Trudy	Harrison	Con	http://publicwhip.com/mp.php?mpid=41369
40882	Simon	Hart	Con	http://publicwhip.com/mp.php?mpid=40882
41117	Alan	Haselhurst	Con	http://publicwhip.com/mp.php?mpid=41117
40834	Helen	Hayes	Lab	http://publicwhip.com/mp.php?mpid=40834
41270	John	Hayes	Con	http://publicwhip.com/mp.php?mpid=41270
41014	Sue	Hayman	Lab	http://publicwhip.com/mp.php?mpid=41014
40815	Oliver	Heald	Con	http://publicwhip.com/mp.php?mpid=40815
40886	John	Healey	Lab	http://publicwhip.com/mp.php?mpid=40886
41344	James	Heappey	Con	http://publicwhip.com/mp.php?mpid=41344
41126	Chris	Heaton-Harris	Con	http://publicwhip.com/mp.php?mpid=41126
41249	Peter	Heaton-Jones	Con	http://publicwhip.com/mp.php?mpid=41249
41289	Gordon	Henderson	Con	http://publicwhip.com/mp.php?mpid=41289
40880	Mark	Hendrick	Lab	http://publicwhip.com/mp.php?mpid=40880
41099	Drew	Hendry	SNP	http://publicwhip.com/mp.php?mpid=41099
40753	Stephen	Hepburn	Lab	http://publicwhip.com/mp.php?mpid=40753
41299	Nick	Herbert	Con	http://publicwhip.com/mp.php?mpid=41299
40723	Sylvia	Hermon	Independent	http://publicwhip.com/mp.php?mpid=40723
40939	Meg	Hillier	Lab	http://publicwhip.com/mp.php?mpid=40939
41110	Damian	Hinds	Con	http://publicwhip.com/mp.php?mpid=41110
41297	Simon	Hoare	Con	http://publicwhip.com/mp.php?mpid=41297
41174	Margaret	Hodge	Lab	http://publicwhip.com/mp.php?mpid=41174
40708	Sharon	Hodgson	Lab	http://publicwhip.com/mp.php?mpid=40708
40828	Kate	Hoey	Lab	http://publicwhip.com/mp.php?mpid=40828
40804	Kate	Hollern	Lab	http://publicwhip.com/mp.php?mpid=40804
41328	George	Hollingbery	Con	http://publicwhip.com/mp.php?mpid=41328
41252	Kevin	Hollinrake	Con	http://publicwhip.com/mp.php?mpid=41252
40795	Philip	Hollobone	Con	http://publicwhip.com/mp.php?mpid=40795
41202	Adam	Holloway	Con	http://publicwhip.com/mp.php?mpid=41202
41346	Kelvin	Hopkins	Lab	http://publicwhip.com/mp.php?mpid=41346
41314	Kris	Hopkins	Con	http://publicwhip.com/mp.php?mpid=41314
40751	Stewart	Hosie	SNP	http://publicwhip.com/mp.php?mpid=40751
40825	George	Howarth	Lab	http://publicwhip.com/mp.php?mpid=40825
41171	Gerald	Howarth	Con	http://publicwhip.com/mp.php?mpid=41171
41141	John	Howell	Con	http://publicwhip.com/mp.php?mpid=41141
40923	Ben	Howlett	Con	http://publicwhip.com/mp.php?mpid=40923
41091	Nigel	Huddleston	Con	http://publicwhip.com/mp.php?mpid=41091
41182	Jeremy	Hunt	Con	http://publicwhip.com/mp.php?mpid=41182
41121	Tristram	Hunt	Lab	http://publicwhip.com/mp.php?mpid=41121
40769	Rupa	Huq	Lab	http://publicwhip.com/mp.php?mpid=40769
41266	Nick	Hurd	Con	http://publicwhip.com/mp.php?mpid=41266
41073	Imran	Hussain	Lab	http://publicwhip.com/mp.php?mpid=41073
40879	Huw	Irranca-Davies	Lab	http://publicwhip.com/mp.php?mpid=40879
40765	Stewart	Jackson	Con	http://publicwhip.com/mp.php?mpid=40765
41011	Margot	James	Con	http://publicwhip.com/mp.php?mpid=41011
40829	Dan	Jarvis	Lab	http://publicwhip.com/mp.php?mpid=40829
41216	Sajid	Javid	Con	http://publicwhip.com/mp.php?mpid=41216
41257	Ranil	Jayawardena	Con	http://publicwhip.com/mp.php?mpid=41257
41111	Bernard	Jenkin	Con	http://publicwhip.com/mp.php?mpid=41111
41317	Andrea	Jenkyns	Con	http://publicwhip.com/mp.php?mpid=41317
41130	Robert	Jenrick	Con	http://publicwhip.com/mp.php?mpid=41130
41230	Alan	Johnson	Lab	http://publicwhip.com/mp.php?mpid=41230
40911	Boris	Johnson	Con	http://publicwhip.com/mp.php?mpid=40911
41368	Caroline	Johnson	Con	http://publicwhip.com/mp.php?mpid=41368
40949	Diana R.	Johnson	Lab	http://publicwhip.com/mp.php?mpid=40949
41157	Gareth	Johnson	Con	http://publicwhip.com/mp.php?mpid=41157
41258	Jo	Johnson	Con	http://publicwhip.com/mp.php?mpid=41258
40814	Andrew	Jones	Con	http://publicwhip.com/mp.php?mpid=40814
40833	David	Jones	Con	http://publicwhip.com/mp.php?mpid=40833
40779	Gerald	Jones	Lab	http://publicwhip.com/mp.php?mpid=40779
40865	Graham	Jones	Lab	http://publicwhip.com/mp.php?mpid=40865
41169	Helen	Jones	Lab	http://publicwhip.com/mp.php?mpid=41169
40781	Kevan	Jones	Lab	http://publicwhip.com/mp.php?mpid=40781
40722	Marcus	Jones	Con	http://publicwhip.com/mp.php?mpid=40722
40718	Susan Elan	Jones	Lab	http://publicwhip.com/mp.php?mpid=40718
40912	Mike	Kane	Lab	http://publicwhip.com/mp.php?mpid=40912
40976	Gerald	Kaufman	Lab	http://publicwhip.com/mp.php?mpid=40976
40870	Daniel	Kawczynski	Con	http://publicwhip.com/mp.php?mpid=40870
41015	Barbara	Keeley	Lab	http://publicwhip.com/mp.php?mpid=41015
41152	Liz	Kendall	Lab	http://publicwhip.com/mp.php?mpid=41152
41120	Seema	Kennedy	Con	http://publicwhip.com/mp.php?mpid=41120
40883	George	Kerevan	SNP	http://publicwhip.com/mp.php?mpid=40883
41253	Calum	Kerr	SNP	http://publicwhip.com/mp.php?mpid=41253
40712	Sadiq	Khan	Lab	http://publicwhip.com/mp.php?mpid=40712
40725	Danny	Kinahan	UUP	http://publicwhip.com/mp.php?mpid=40725
40803	Stephen	Kinnock	Lab	http://publicwhip.com/mp.php?mpid=40803
41190	Simon	Kirby	Con	http://publicwhip.com/mp.php?mpid=41190
40965	Greg	Knight	Con	http://publicwhip.com/mp.php?mpid=40965
41119	Julian	Knight	Con	http://publicwhip.com/mp.php?mpid=41119
41273	Kwasi	Kwarteng	Con	http://publicwhip.com/mp.php?mpid=41273
41256	Peter	Kyle	Lab	http://publicwhip.com/mp.php?mpid=41256
41222	Norman	Lamb	LDem	http://publicwhip.com/mp.php?mpid=41222
40802	David	Lammy	Lab	http://publicwhip.com/mp.php?mpid=40802
41213	Mark	Lancaster	Con	http://publicwhip.com/mp.php?mpid=41213
41245	Pauline	Latham	Con	http://publicwhip.com/mp.php?mpid=41245
41351	Ian	Lavery	Lab	http://publicwhip.com/mp.php?mpid=41351
40739	Chris	Law	SNP	http://publicwhip.com/mp.php?mpid=40739
41223	Andrea	Leadsom	Con	http://publicwhip.com/mp.php?mpid=41223
